ntdid,4 Digit NTDID,name,reporter,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles in Operation,vmt,vmt_rev,Deadhead Miles,Scheduled Revenue Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Charter service hours,School bus hours,Trains in operation,Total actual miles,Total actual revenue miles,Deadhead Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service,pmt,Days of service operated,Days not operated due to strikes,Strike Comment,Days not operated due to officially declared emergencies,Emergency Comment,BRT Non-Statutory Mixed Traffic,Mixed Traffic Right of Way (ROW)
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Typical Weekday,5:30:00 AM,6:00:00 PM,,,30,2770,2470,300,,202,184,18,,,,,,,,,,447,,,3187,255,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Annual Total,,,30,39,,706476,629816,76660,,51492,46827,4665,,,,,,,,,,114030,114030,,812634,,,,,,0,0
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Typical Weekday,4:30:00 AM,11:00:00 PM,,,57,6413,5622,791,,429,386,43,,,,,,,,,,826,,,6493,255,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Typical Saturday,6:00:00 AM,10:30:00 PM,,,37,3384,2935,449,,236,213,23,,,,,,,,,,473,,,3042,52,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Average Typical Sunday,7:00:00 AM,8:30:00 PM,,,40,3012,2530,482,,201,177,24,,,,,,,,,,402,,,2633,58,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Annual Total,,,57,66,,1985927,1732870,253057,,133410,119618,13792,,,,,,,,,,258601,258601,,1966709,,,,,,0,0
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Weekday - AM Peak,6:00:00 AM,8:59:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Weekday - Midday,9:00:00 AM,1:59:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Weekday - PM Peak,2:00:00 PM,6:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Typical Weekday,3:57:00 AM,12:08:00 AM,,,120,17002,14276,2726,14282,1404,1257,147,,,,,,,,,,34183,,,136676,255,0,,0,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Typical Saturday,5:35:00 AM,11:22:00 PM,,,71,9648,8477,1171,8480,797,721,76,,,,,,,,,,17595,,,70351,52,0,,0,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Average Typical Sunday,6:28:00 AM,10:26:00 PM,,,56,6500,5517,983,5517,520,463,57,,,,,,,,,,10341,,,41348,58,0,,0,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Annual Total,,,120,158,,5214341,4401270,813071,4402904,429535,385007,44528,0,0,,,,,,,,10231241,,,41079580,,,,,,0,664
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Typical Weekday,12:00:00 PM,12:00:00 PM,,,311,17702,17702,0,,527,527,0,,,,,,,,,,3418,,,93846,261,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Typical Saturday,12:00:00 PM,12:00:00 PM,,,24,885,885,0,,26,26,0,,,,,,,,,,137,,,2971,52,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Average Typical Sunday,12:00:00 PM,12:00:00 PM,,,19,818,818,0,,24,24,0,,,,,,,,,,146,,,2963,52,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Annual Total,,,311,346,,4708917,4708917,0,,140256,140256,0,,,,,,,,,,906686,,,24802256,,,,,,0,0
5,5,Everett Transit,Full Reporter: Operating,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Everett Transit,Full Reporter: Operating,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Everett Transit,Full Reporter: Operating,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Everett Transit,Full Reporter: Operating,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
