ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
2,Spokane Transit Authority,N,MB,DO,Average Weekday - Other,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,MB,DO,Average Weekday - PM Peak,1500,1800,103,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,VP,DO,Annual Total,,,,1126943,1126943,0,,34313,34313,0,,,,,,,,,,241257,,,6084733,365,,,,
2,Spokane Transit Authority,N,VP,DO,Average Typical Saturday,,,4,287,287,0,,9,9,0,,,,,,,,,,40,,,899,52,,,,
2,Spokane Transit Authority,N,VP,DO,Average Typical Sunday,,,4,218,218,0,,7,6,1,,,,,,,,,,33,,,680,59,,,,
2,Spokane Transit Authority,N,VP,DO,Average Typical Weekday,,,93,4327,4327,0,,132,132,0,,,,,,,,,,934,,,23614,254,,,,
2,Spokane Transit Authority,N,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Annual Total,,,,704709,627319,77390,,51547,46827,4720,,,,,,,,,,114577,114577,,826548,255,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Typical Weekday,530,1730,31,2764,2460,304,,202,184,18,,,,,,,,,,449,,,3241,255,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Annual Total,,,,1947705,1705954,241751,,130945,117829,13116,,,,,,,,,,256725,256725,,1958652,365,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Typical Saturday,600,2230,37,3330,2867,463,,230,206,24,,,,,,,,,,460,,,2925,52,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Typical Sunday,700,2030,37,2949,2497,452,,197,174,23,,,,,,,,,,407,,,2637,58,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Typical Weekday,430,2230,61,6288,5537,751,,422,380,42,,,,,,,,,,820,,,6485,255,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Annual Total,,,,5005473,4287953,717520,4289980,412704,373701,39003,,,,,,,,,,10349186,,,41682045,365,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Typical Saturday,536,2322,90,9684,8582,1102,8585,796,724,72,,,,,,,,,,18626,,,75048,52,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Typical Sunday,633,2220,74,6406,5522,884,5553,500,448,52,,,,,,,,,,10606,,,42732,58,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Typical Weekday,403,4,106,16197,13809,2388,13810,1342,1216,126,,,,,,,,,,34375,,,138502,255,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Weekday - AM Peak,600,900,99,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Weekday - Midday,900,1359,95,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Weekday - Other,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
