ntdid,Legacy NTD ID,name,reporter,Form Module Type,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles/ Passenger Cars in Operation,vmt,vmt_rev,Actual Vehicles/ Passenger Deadhead Miles,Scheduled Actual Vehicles/ Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicles/ Passenger Car Revenue Hours,Actual Vehicles/ Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains in Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,pmt,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic, DRM Mixed Traffic ROW 
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Typical Weekday,11:00:00,23:00:00,,,,37,30,7,32,11,10,1,,,,,,,,,,154,,,,246,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Typical Saturday,11:00:00,23:00:00,,,,39,32,7,32,11,10,1,,,,,,,,,,370,,,,50,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Typical Sunday,11:00:00,23:00:00,,,,40,33,7,32,11,10,1,,,,,,,,,,346,,,,49,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Annual Total,,,1,3,,12933,10510,2423,11072,3910,3431,479,0,,,,,,,,,73272,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Typical Weekday,9:30:00,18:30:00,,,,221,174,47,173,17,15,2,,,,,,,,,,94,,,270,258,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Typical Saturday,9:00:00,17:00:00,,,,112,102,10,95,10,9,1,,,,,,,,,,214,,,963,52,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Average Typical Sunday,9:00:00,17:00:00,,,,99,90,9,86,9,8,1,,,,,,,,,,154,,,693,52,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,MB,PT,Annual Total,,,5,9,,67990,54786,13204,54118,5236,4907,329,0,0,,,,,,,,43081,,,155006,,,,,,,34
44932,,City of Tamarac,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,2,,,,54825,,,,3824,,,,,,,,,,,58875,,,,,,,,,,
50001,5001,City of Appleton - Valley Transit,Full Reporter,Full Reporter,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
50001,5001,City of Appleton - Valley Transit,Full Reporter,Full Reporter,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
50001,5001,City of Appleton - Valley Transit,Full Reporter,Full Reporter,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
50001,5001,City of Appleton - Valley Transit,Full Reporter,Full Reporter,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
