company,route,state1,state2,state3,urban_area1,urban_area2,urban_area3,bus_arr,pass_arr,bus_dep,pass_dep,capacity,location,level
NJ Transit,191 - Willowbrook - Little Falls - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,16,567,20,704,51.3,PABT,3-SW
NJ Transit,192 - Clifton - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,60,2304,38,1502.449839,51.3,PABT,3-SW
NJ Transit,193 - Packanack Lake - Willowbrook - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,25,1036,18,790,51.3,PABT,3-SW
NJ Transit,194 - Newfoundland - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,12,146,30,1033,51.3,PABT,3-SW
NJ Transit,195 - Willowbrook - Cedar Grove - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,12,355,12,524,51.3,PABT,3-SW
NJ Transit,196 - Warwick - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,12,433,13,451,51.3,PABT,3-NW
NJ Transit,197 - Warwick - Wayne - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,24,666,26,984,51.3,PABT,3-SW
NJ Transit,198 - Wayne-William Paterson University-NY,New Jersey,,,"New York--Newark, NY--NJ--CT",,,7,184,10,329,51.3,PABT,3-SW
NJ Transit,199 - Clifton - Lyndhurst - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,20,909,30,1340,51.3,PABT,3-SW
NJ Transit,319 - New York  - Atlantic City - Cape May,New Jersey,New Jersey,,"New York--Newark, NY--NJ--CT","Atlantic City, NJ",,10,187,7,251,51.3,PABT,3-NW
NJ Transit,320 - North Bergen Park & Ride - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,110,2974,93,3304,51.3,PABT,3-SW
NJ Transit,321 - Vince Lombardi Park & Ride - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,22,533,21,481,51.3,PABT,3-NW
NJ Transit,324 - Wayne Rt. 23 Transit Center - New York Express,New Jersey,,,"New York--Newark, NY--NJ--CT",,,26,1083,17,829,51.3,PABT,3-SW
Number 1 Bus,Richmond,Virginia,,,"Richmond, VA",,,1,43.58603722,2,85.81452785,42.75,19 Allen St,
NY Tiger Travel,Virginia Beach/Norfolk,Virginia,,,,,,5,222.296637,5,199.339407,42.75,59 Canal St,
NYC Transit,X17J,,,,,,,41,1376.937576,33,1200.479727,51.3,57 St & 3 Av,
NYC Transit,X22,,,,,,,29,1006.433939,30,1082.270152,51.3,57 St & 3 Av,
NYC Transit,X22A-Outerbridge P&R [was AE7],,,,,,,5,179.1587879,4,156.0757576,51.3,57 St & 3 Av,
NYC Transit,X30 [fmr. Academy Forest routes],,,,,,,14,483.8630303,12,462.3030303,51.3,57 St & 11 Av,
NYC Transit,X31 (via Lincooln Tunnel PM only),,,,,,,0,0,11,428.069697,51.3,57 St & 3 Av,
Ocean/Bus Go NYC,Syracuse/Rochester/Buffalo,,,,"Syracuse, NY","Rochester, NY","Buffalo, NY",1,45.592288,1,41.58052318,42.75,3 Allen St,
Oriental Pearl/Bus Pearl,Carolinas,North Carolina,South Carolina,,,,,2,98.71046704,2,83.56780735,42.75,47 Chrystie St,
Panda/Pandora Bus,Atlanta,Georgia,,,"Atlanta, GA",,,7,314.3368815,7,298.379162,42.75,19 Allen St,
Peter Pan/Bonanza,Berkshires/Pittsfield,Massachusetts,,,,,,2,67.59791667,2,78.14563492,51.3,PABT,LL-SW
Peter Pan/Bonanza,"Hartford, CT",Connecticut,,,"Hartford, CT",,,7,259.5958333,6,208.5242369,51.3,PABT,LL-SW
